City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Mapastepec,MX,33.31,clear sky,15.4333,-92.9,Hotel San Carlos
456,Istmina,CO,28.04000000000002,scattered clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
464,Los Andes,CL,29.54000000000002,clear sky,-32.8337,-70.5983,Hotel Los Andes
468,George Town,MY,27.310000000000002,few clouds,5.4112,100.3354,Cititel Penang
472,High Rock,BS,25.160000000000025,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
475,Nanakuli,US,25.54000000000002,scattered clouds,21.3906,-158.1547,Camp Pālehua
481,Ugoofaaru,MV,27.269999999999982,few clouds,5.6667,73.0,Ungoofaaru Inn
482,Bonthe,SL,26.94999999999999,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
508,Male,MV,29.120000000000005,broken clouds,4.1748,73.5089,Hotel Octave Maldives
510,Inhambane,MZ,27.139999999999986,scattered clouds,-23.865,35.3833,Oceano
516,Kirakira,SB,27.430000000000007,overcast clouds,-10.4544,161.9205,SanBiz Lodge
518,Buchanan,LR,29.129999999999995,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
519,Puerto Narino,CO,28.120000000000005,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
532,Porto Novo,BJ,29.05000000000001,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
534,Sao Miguel Do Araguaia,BR,30.839999999999975,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
543,Gambela,ET,30.55000000000001,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
546,Labuhan,ID,25.74000000000001,overcast clouds,-6.8844,112.2051,DoubleFAG
549,Omboue,GA,25.389999999999986,clear sky,-1.5746,9.2618,Hotel Olako
550,Solenzo,BF,28.430000000000007,clear sky,12.1833,-4.0833,
558,Thinadhoo,MV,28.220000000000027,overcast clouds,0.5333,72.9333,
559,Monte Alegre,BR,29.30000000000001,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
564,Freetown,SL,26.05000000000001,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
571,Mitsamiouli,KM,28.310000000000002,scattered clouds,-11.3847,43.2844,Foyer ADM
581,Espinosa,BR,25.899999999999977,overcast clouds,-14.9261,-42.8192,Hotel Vilma
584,Sao Geraldo Do Araguaia,BR,28.430000000000007,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
585,Palauig,PH,25.079999999999984,broken clouds,15.435,119.9045,Alperi Botique Resort
586,Port Blair,IN,27.170000000000016,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
587,Acapulco,MX,28.05000000000001,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
590,Gouyave,GD,28.579999999999984,broken clouds,12.1646,-61.7296,Rumboat Retreat
601,Makakilo City,US,25.310000000000002,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
604,Koumac,NC,25.600000000000023,overcast clouds,-20.5667,164.2833,Le Monitel
619,Quatre Cocos,MU,26.870000000000005,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
629,Libreville,GA,26.560000000000002,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
632,Nioro,GM,33.48000000000002,clear sky,13.35,-15.75,
633,The Valley,AI,28.069999999999993,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
640,Tabou,CI,27.029999999999973,few clouds,4.423,-7.3528,hotêl doufoulougou
647,Sibu,MY,25.319999999999993,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
649,Kuala Terengganu,MY,27.120000000000005,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
654,Rio Grande,BR,29.20999999999998,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
659,Huarmey,PE,25.139999999999986,few clouds,-10.0681,-78.1522,Hotel Miramar
666,Pinheiro,BR,29.029999999999973,scattered clouds,-2.5214,-45.0825,Solares Hotel
668,Urucara,BR,28.870000000000005,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
671,Samarai,PG,26.79000000000002,overcast clouds,-10.6167,150.6667,Nuli Sapi
674,Mersing,MY,27.100000000000023,overcast clouds,2.4312,103.8405,Timotel Hotel
676,Kismayo,SO,25.930000000000007,overcast clouds,-0.3582,42.5454,Agan-Hotel
677,Banda Aceh,ID,26.29000000000002,overcast clouds,5.5577,95.3222,Sulthan Hotel International
679,Namatanai,PG,26.810000000000002,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
683,Kununurra,AU,26.139999999999986,overcast clouds,-15.7667,128.7333,Hotel Kununurra
