City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
549,Omboue,GA,-1.5746,9.2618,298.39,85,4,2.64,clear sky
550,Solenzo,BF,12.1833,-4.0833,301.43,9,5,2.87,clear sky
551,Xichang,CN,27.8964,102.2634,280.02,85,97,0.05,overcast clouds
552,Winona,US,43.9666,-91.7668,265.12,53,40,3.6,scattered clouds
553,Salinas,US,36.6777,-121.6555,290.82,51,0,5.14,clear sky
554,Bagar,IN,28.1874,75.5005,284.98,49,4,3.22,clear sky
555,Paamiut,GL,61.994,-49.6678,254.89,85,73,3.4,broken clouds
556,General Roca,AR,-39.0333,-67.5833,297.37,30,0,3.05,clear sky
557,Lalibela,ET,12.0333,39.0333,289.76,52,13,2.09,few clouds
558,Thinadhoo,MV,0.5333,72.9333,301.22,72,100,5.0,overcast clouds
559,Monte Alegre,BR,-2.0078,-54.0692,302.3,68,100,1.36,overcast clouds
560,Lindi,TZ,-10.0,39.7167,297.89,74,100,1.34,overcast clouds
561,Sorsk,RU,54.0033,90.2467,258.62,80,57,1.35,broken clouds
562,San Francisco De Cones,HN,14.5167,-88.9,295.27,96,100,2.76,overcast clouds
563,Hunterville,NZ,-39.9333,175.5667,287.01,100,100,2.32,light rain
564,Freetown,SL,8.484,-13.2299,299.05,74,90,3.93,overcast clouds
565,Port Macquarie,AU,-31.4333,152.9167,291.13,73,86,6.47,overcast clouds
566,Wynyard,AU,-41.0,145.7167,288.69,94,100,4.69,overcast clouds
567,Palana,RU,59.1167,159.9667,256.48,85,99,3.89,overcast clouds
568,Elmadag,TR,39.9208,33.2308,269.22,89,43,1.41,scattered clouds
569,Kamen-Na-Obi,RU,53.7884,81.3423,252.69,99,85,1.74,overcast clouds
570,Melhus,NO,63.2855,10.2781,273.97,60,96,3.32,overcast clouds
571,Mitsamiouli,KM,-11.3847,43.2844,301.31,78,40,3.6,scattered clouds
572,Malumfashi,NG,11.7853,7.6218,292.74,19,0,4.5,clear sky
573,Bose,IT,45.4612,8.0137,282.21,73,0,1.28,clear sky
574,Berezovyy,RU,51.6667,135.7,256.85,98,100,0.85,overcast clouds
575,Merrill,US,45.1805,-89.6835,261.86,79,100,3.09,overcast clouds
576,Clarksburg,US,39.2807,-80.3445,269.15,73,100,2.06,overcast clouds
577,Umm Kaddadah,SD,13.6017,26.6876,289.35,18,100,7.07,overcast clouds
578,Kefamenanu,ID,-9.4467,124.4781,295.18,96,66,1.64,broken clouds
579,Kudus,ID,-6.8048,110.8405,297.73,92,72,3.41,broken clouds
580,Nalut,LY,30.3333,10.85,289.05,19,100,4.37,overcast clouds
581,Espinosa,BR,-14.9261,-42.8192,298.9,75,100,2.52,overcast clouds
582,Central Point,US,42.376,-122.9164,284.48,65,0,0.0,clear sky
583,Port Hardy,CA,50.6996,-127.4199,278.57,93,75,2.06,broken clouds
